MOHCD Development ID,Development Name,Planning Approval Address,Marketing Address,Development Zip Code,Latitude and Longitude (Latitude),Latitude and Longitude (Longitude),Supervisor District,City Analysis Neighborhood,Planning Neighborhood,OCII Project Area,Lead Agency,Tenure,Development Type,Housing Program,Estimated/Actual Construction Start Date,# Income-Restricted Residential Units,# SRO Units,# Studios Units,# 1 Bedroom Units,# 2 Bedroom Units,# 3 Bedroom Units,# 4 Bedroom Units,# 5+ Bedroom Units,# Senior Units,# TAY Units,# Homeless Units,# LOSP Units,# VASH Units,# Market Rate Units,# Manager Units,Location
2013-029,Hunters Point East / West,90 Kiska Rd,1068 Palou Ave,94124,37.72843,-122.3806408,10,Bayview Hunters Point,Bayview,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Rental Assistance Demonstration Program,11/07/2016,213,0,0,16,124,35,29,9,0,0,0,0,0,0,2,POINT (-122.3806408 37.72843)
2006-021a,Hunters View (Phase 1),112 Middle Point Rd,1101 Fairfax Ave,94124,37.7353745,-122.3805313,10,Bayview Hunters Point,Bayview,Not in an OCII Project Area,MOHCD/SFRA,Rental,New Construction,HOPE SF,,107,0,0,4,49,37,15,2,0,0,0,0,0,0,1,POINT (-122.3805313 37.7353745)
2006-021c,Hunters View Phase 2B (Block 10),227-229 West Point Rd,901 Fairfax Ave,94124,37.73537,-122.38074,10,Bayview Hunters Point,Bayview,Not in an OCII Project Area,MOHCD,Rental,New Construction,HOPE SF,12/09/2015,72,0,0,38,0,32,0,2,0,0,0,0,0,0,1,POINT (-122.38074 37.73537)
2006-021b,Hunters View Phase IIA- 7a-7d & 11e-11f,140 Middle Point Rd,112 Middle Point Rd,94124,37.736112,-122.37941,10,Bayview Hunters Point,Bayview,Not in an OCII Project Area,OCII,Rental,New Construction,HOPE SF,03/12/2015,107,0,0,30,32,33,12,0,0,0,0,0,0,0,1,POINT (-122.37941 37.736112)
1994-017,International Hotel,848 Kearny St,848 Kearny St,94111,37.7961181,-122.4048028,3,Chinatown,Financial District,Not in an OCII Project Area,MOHCD,Rental,New Construction,Multifamily Rental Program,,105,0,88,16,1,0,0,0,0,0,0,0,0,0,1,POINT (-122.4048028 37.7961181)
1994-010,Iroquois Hotel,835 O'Farrell St,835 O'Farrell St,94109,37.7848669,-122.418455,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD/SFRA,Rental,Rehabilitation,Multifamily Rental Program,,74,28,35,11,0,0,0,0,0,0,8,0,0,0,0,POINT (-122.418455 37.7848669)
2017-055,Jazzie Collins Apartments (at 53 Colton Street - part of 1629 Market Master Plan Area),1629 Market St,53 Colton St,94103,37.7736453,-122.4208448,6,Mission,South of Market,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,10/18/2019,96,0,96,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4208448 37.7736453)
1999-023,Jelani Family Program,1638 Kirkwood Ave,1638 Kirkwood Ave,94124,37.7387919,-122.3906419,10,Bayview Hunters Point,Bayview,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Transitional,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.3906419 37.7387919)
1989-004,Jelani House,1601 Quesada Ave,1601 Quesada Ave,94124,37.732183,-122.3899573,10,Bayview Hunters Point,Bayview,Not in an OCII Project Area,MOHCD/SFRA,Rental,Rehabilitation,Transitional,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.3899573 37.732183)
2010-002,John Burton Advocates for Youth Housing Complex,800 Presidio Ave,800 Presidio Ave,94115,37.7843279,-122.4460272,5,Presidio Heights,Western Addition,Not in an OCII Project Area,MOHCD,Rental,New Construction,Multifamily Rental Program,12/21/2015,50,0,48,0,2,0,0,0,0,0,25,25,0,0,1,POINT (-122.4460272 37.7843279)
